instancia;tamanho;id;restricao;melhor incial;melhor GA;seed;crossover;LS;tempo
te80_1;81;1;5;2697;2569;5;2;2;0:10:01.710819
te80_1;81;1;10;1766;1730;5;2;2;0:10:03.022352
te80_1;81;1;20;1388;1314;5;2;2;0:10:16.956392
te80_2;81;2;5;2622;2587;5;2;2;0:10:02.351591
te80_2;81;2;10;1759;1667;5;2;2;0:10:04.215927
te80_2;81;2;20;1283;1250;5;2;2;0:10:14.632219
te80_3;81;3;5;2750;2641;5;2;2;0:10:02.306607
te80_3;81;3;10;1850;1741;5;2;2;0:10:03.314248
te80_3;81;3;20;1408;1338;5;2;2;0:10:18.052003
te80_4;81;4;5;2682;2605;5;2;2;0:10:01.796788
te80_4;81;4;10;1830;1749;5;2;2;0:10:05.199577
te80_4;81;4;20;1425;1341;5;2;2;0:10:20.384172
te80_5;81;5;5;2606;2507;5;2;2;0:10:02.094683
te80_5;81;5;10;1780;1690;5;2;2;0:10:04.207930
te80_5;81;5;20;1328;1291;5;2;2;0:10:07.032771
te80_1;81;1;5;2725;2594;4;2;2;0:10:01.970727
te80_1;81;1;10;1766;1712;4;2;2;0:10:04.861697
te80_1;81;1;20;1405;1335;4;2;2;0:10:13.361671
te80_2;81;2;5;2622;2575;4;2;2;0:10:02.095680
te80_2;81;2;10;1759;1681;4;2;2;0:10:02.786436
te80_2;81;2;20;1314;1258;4;2;2;0:10:12.826861
te80_3;81;3;5;2760;2669;4;2;2;0:10:02.480545
te80_3;81;3;10;1848;1757;4;2;2;0:10:04.008001
te80_3;81;3;20;1380;1338;4;2;2;0:10:21.468786
te80_4;81;4;5;2686;2594;4;2;2;0:10:02.566515
te80_4;81;4;10;1846;1716;4;2;2;0:10:04.970658
te80_4;81;4;20;1389;1335;4;2;2;0:10:16.119690
te80_5;81;5;5;2606;2495;4;2;2;0:10:02.318602
te80_5;81;5;10;1780;1690;4;2;2;0:10:02.647485
te80_5;81;5;20;1328;1270;4;2;2;0:10:12.180939
te80_1;81;1;5;2695;2596;1;2;2;0:10:01.831775
te80_1;81;1;10;1766;1733;1;2;2;0:10:05.317534
te80_1;81;1;20;1390;1344;1;2;2;0:10:10.219791
te80_2;81;2;5;2622;2574;1;2;2;0:10:02.247628
te80_2;81;2;10;1759;1675;1;2;2;0:10:03.848057
te80_2;81;2;20;1314;1271;1;2;2;0:10:19.561465
te80_3;81;3;5;2760;2670;1;2;2;0:10:02.817424
te80_3;81;3;10;1863;1791;1;2;2;0:10:04.704753
te80_3;81;3;20;1362;1306;1;2;2;0:10:10.549674
te80_4;81;4;5;2686;2599;1;2;2;0:10:02.149667
te80_4;81;4;10;1848;1754;1;2;2;0:10:04.474835
te80_4;81;4;20;1416;1340;1;2;2;0:10:09.846922
te80_5;81;5;5;2606;2502;1;2;2;0:10:01.976725
te80_5;81;5;10;1780;1675;1;2;2;0:10:03.647130
te80_5;81;5;20;1328;1284;1;2;2;0:10:12.375869
te80_1;81;1;5;2669;2590;3;2;2;0:10:01.852768
te80_1;81;1;10;1766;1714;3;2;2;0:10:03.754093
te80_1;81;1;20;1379;1295;3;2;2;0:10:18.113980
